34371,1,EBS_ValidateCustomerDetails,6/02/2019 11:34:53 AM,0,Failed,6/02/2019 11:34:19 AM,basic.step,,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,952,Passed,"",basic.init,
"Iteration Total (sec)",,26154,Failed,"",basic.iteration,
"Call Function: Browser_Functions.Launch",,10769,Passed,"",basic.stepGroup,
"Launch Browser: InternetExplorer 11.0.9600.19301",,2977,Passed,"",basic.step,
"Navigate https://ebsqa.beachbody.local:4463/",23,272,Passed,"",ft.action,
"WaitForPage",24,483,Passed,"",web.pageComplete,
"Call Function: Browser_Functions.Login",,10527,Passed,"",basic.stepGroup,
"Click textBox(""@id='usernameField'"")",,1170,Passed,"",ft.action,
"SetText textBox(""@id='usernameField'"") VNALLANI",,53,Passed,"",ft.action,
"PressTab textBox(""@id='usernameField'"")",,98,Passed,"",ft.action,
"SetPassword textBox(""@id='passwordField'"") ******",,52,Passed,"",ft.action,
"Click button(""@value='Login'"")",,101,Passed,"",ft.action,
"WaitForPage",,8837,Passed,"",web.pageComplete,
"Frame (URL=https://ebsqa.beachbody.local:4463/OA_HTML/cabo/images/skyros/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://ebsqa.beachbody.local:4463/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Call Function: Browser_Functions.SelectMenu",,4739,Passed,"",basic.stepGroup,
"Click link(""@text='US CS ADMIN'"")",,116,Passed,"",ft.action,
"Think: 0 (sec).",,10,Passed,"",basic.comment,
"Click link(""@text='Customer Service Portal'"")",,120,Passed,"",ft.action,
"WaitForPage",,4395,Passed,"",web.pageComplete,
"Think: 0 (sec).",,8,Passed,"",basic.comment,
"Unexpected Failure",,0,Failed,"basic Caused by: java.io.SocketException occurred. Error Message:..\..\DataBank\customerdetails.properties (The system cannot find the path specified)",basic.step,
"Finish Total (sec)",,6851,Passed,"",basic.finish,
